model,source,base,dataset,N,topk,steering_type,rf_type,pass_rate
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,last-token,wo_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.01,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.03,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.05,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.08,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,w_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,last-token,wo_rf,0.02
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,w_rf,0.04
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,mean,wo_rf,0.04
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.1,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,w_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,last-token,wo_rf,0.38
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,w_rf,0.34
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,mean,wo_rf,0.42
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,positional,w_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,0.5,positional,wo_rf,0.4
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,last-token,w_rf,0.6
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,last-token,wo_rf,0.74
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,mean,w_rf,0.7
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,mean,wo_rf,0.88
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,positional,w_rf,0.64
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,1,1.0,positional,wo_rf,0.74
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,last-token,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,last-token,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,mean,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,mean,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,positional,w_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.01,positional,wo_rf,0.0
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,last-token,w_rf,0.14
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,last-token,wo_rf,0.14
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,mean,w_rf,0.14
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,mean,wo_rf,0.14
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,positional,w_rf,0.06
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.03,positional,wo_rf,0.06
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,last-token,w_rf,0.28
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,last-token,wo_rf,0.28
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,mean,w_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,mean,wo_rf,0.4
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,positional,w_rf,0.22
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.05,positional,wo_rf,0.22
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,last-token,w_rf,0.44
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,last-token,wo_rf,0.48
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,mean,w_rf,0.5
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,mean,wo_rf,0.52
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,positional,w_rf,0.36
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.08,positional,wo_rf,0.42
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.1,last-token,w_rf,0.52
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.1,last-token,wo_rf,0.56
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.1,mean,w_rf,0.56
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.1,mean,wo_rf,0.56
OLMo-2-1124-13B-DPO,harmful-long,harmless,harmful-long → harmless,3,0.1,positional,w_rf,0.44
